Regio's,Perioden,Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens,Particuliere huishoudens: samenstelling|Eenpersoonshuishouden,Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens,Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren,Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren,Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens,Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen,Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen,Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen,Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen
Nederland,2014,7590228,2803852,4786376,916991,3291177,535870,2498744,920496,964012,403124
Nederland,2015,7665198,2867797,4797401,934671,3275358,545289,2512123,923286,961010,400982
Nederland,2016,7720787,2906334,4814453,954074,3261124,557426,2530437,924877,958746,400393
Nederland,2017,7794075,2961228,4832847,975602,3253633,562124,2540703,926964,961007,404173
Nederland,2018,7857914,2997617,4860297,997648,3249848,572419,2565256,929901,959802,405338
Nederland,2019,7924691,3037622,4887069,1015999,3248353,582106,2586739,932959,960878,406493
Nederland,2020,7997800,3079778,4918022,1037200,3250231,589975,2610601,938515,961314,407592
Nederland,2021,8043443,3097117,4946326,1077723,3233662,593871,2640717,940588,958249,406772
Nederland,2022,8138591,3172564,4966027,1099461,3228333,596408,2661105,942346,956266,406310
Nederland,2023,8270244,3266042,5004202,1108952,3242090,610633,2677788,956719,959324,410371
Nederland,2024,8374404,3340560,5033844,1120806,3247930,618056,2706372,968419,953582,405471
Aalsmeer,2014,12520,3504,9016,1753,6395,825,4162,1784,2309,761
Aalsmeer,2015,12672,3577,9095,1771,6434,845,4206,1771,2363,755
Aalsmeer,2016,12831,3682,9149,1786,6450,868,4251,1811,2306,781
Aalsmeer,2017,12965,3803,9162,1810,6426,884,4261,1830,2303,768
Aalsmeer,2018,12976,3733,9243,1884,6388,928,4334,1851,2301,757
